id,name,brand,category,price,sku,stock_quantity,created_at
75,Practical Cotton Shirt,Nike,Toys,1284.89,SKU-00000075,358,2026-02-01 13:07:58
76,Durable Bronze Coat,HP,Sports,669.30,SKU-00000076,967,2026-02-23 07:16:42
77,Lightweight Silk Shoes,Samsung,Home,1623.20,SKU-00000077,955,2025-11-21 06:43:38
78,Ergonomic Plastic Table,Nike,Electronics,1141.51,SKU-00000078,760,2026-02-15 22:40:16
79,Intelligent Silk Bench,Nike,Clothing,918.03,SKU-00000079,839,2025-01-06 13:26:29
80,Lightweight Wooden Bag,Sony,Food,1292.61,SKU-00000080,163,2025-06-19 03:02:21
81,Gorgeous Wooden Bottle,Nike,Sports,1703.09,SKU-00000081,141,2026-06-03 15:53:47
82,Ergonomic Paper Bottle,Dell,Clothing,900.47,SKU-00000082,94,2026-04-13 10:26:26
83,Durable Plastic Gloves,Adidas,Food,665.92,SKU-00000083,436,2026-03-18 04:26:44
84,Small Silk Keyboard,HP,Sports,325.92,SKU-00000084,768,2026-06-01 05:24:33
85,Incredible Wool Car,Sony,Toys,650.25,SKU-00000085,51,2025-07-01 08:59:24
86,Mediocre Paper Lamp,Nike,Electronics,1813.31,SKU-00000086,744,2024-12-04 07:01:16
87,Intelligent Concrete Lamp,Adidas,Food,196.43,SKU-00000087,819,2026-08-24 07:21:04
88,Ergonomic Concrete Chair,Sony,Clothing,191.38,SKU-00000088,820,2026-05-10 10:16:34
89,Sleek Iron Lamp,Nike,Food,646.06,SKU-00000089,901,2025-11-26 08:27:55
90,Fantastic Iron Coat,LG,Electronics,1473.25,SKU-00000090,539,2024-10-26 18:12:22
91,Aerodynamic Rubber Gloves,HP,Sports,1168.16,SKU-00000091,731,2025-03-17 05:52:40
92,Heavy Duty Marble Knife,Samsung,Electronics,1852.21,SKU-00000092,981,2025-07-05 14:27:09
93,Gorgeous Plastic Hat,Adidas,Sports,870.26,SKU-00000093,107,2025-07-22 05:22:15
94,Aerodynamic Wooden Bench,HP,Toys,1247.31,SKU-00000094,158,2026-07-24 06:24:57
95,Gorgeous Marble Clock,HP,Home,1863.23,SKU-00000095,430,2026-06-22 14:39:20
96,Rustic Leather Knife,Nike,Sports,798.51,SKU-00000096,51,2025-09-12 20:11:59
97,Gorgeous Wool Plate,LG,Books,645.92,SKU-00000097,328,2026-05-07 10:59:56
98,Fantastic Cotton Shirt,Dell,Home,1739.83,SKU-00000098,980,2026-06-02 01:04:16
99,Sleek Leather Bench,Apple,Toys,70.50,SKU-00000099,337,2026-03-12 04:42:43
100,Enormous Granite Clock,Apple,Food,1467.58,SKU-00000100,281,2025-10-18 18:48:16
101,Ergonomic Cotton Plate,Sony,Electronics,1960.51,SKU-00000101,529,2026-08-15 11:03:46
102,Incredible Paper Car,HP,Home,37.93,SKU-00000102,487,2024-10-30 23:07:46
103,Practical Granite Shoes,Sony,Food,1007.29,SKU-00000103,585,2025-02-03 22:45:01
104,Rustic Concrete Car,Apple,Food,178.65,SKU-00000104,354,2025-10-08 08:22:02
105,Awesome Marble Wallet,HP,Electronics,821.50,SKU-00000105,644,2026-01-05 22:15:31
106,Awesome Silk Gloves,Sony,Beauty,836.44,SKU-00000106,261,2026-08-21 02:30:23
107,Fantastic Leather Shirt,Adidas,Books,421.96,SKU-00000107,909,2025-12-15 19:30:35
108,Gorgeous Cotton Wallet,Sony,Toys,326.80,SKU-00000108,989,2025-07-09 03:28:40
109,Aerodynamic Concrete Gloves,Samsung,Home,65.19,SKU-00000109,883,2025-12-09 23:12:37
110,Practical Leather Car,HP,Toys,1443.52,SKU-00000110,628,2025-12-29 18:47:43
111,Sleek Marble Plate,Sony,Home,613.05,SKU-00000111,784,2025-12-11 09:36:12
112,Durable Bronze Car,Adidas,Beauty,1742.17,SKU-00000112,386,2026-08-15 06:00:24
113,Mediocre Plastic Keyboard,Sony,Home,1800.92,SKU-00000113,672,2026-05-22 08:13:37
114,Intelligent Paper Bottle,LG,Toys,174.22,SKU-00000114,343,2026-03-16 06:08:11
115,Heavy Duty Granite Car,Adidas,Food,532.01,SKU-00000115,877,2025-10-30 13:34:28
116,Enormous Rubber Pants,Nike,Electronics,507.44,SKU-00000116,980,2024-10-14 14:43:26
117,Practical Wool Plate,Sony,Electronics,359.67,SKU-00000117,752,2025-07-16 14:56:21
118,Sleek Granite Knife,Samsung,Sports,294.89,SKU-00000118,289,2026-03-11 01:22:22
119,Fantastic Wooden Watch,Samsung,Clothing,296.38,SKU-00000119,994,2025-08-01 05:38:07
120,Intelligent Iron Bag,HP,Beauty,1869.57,SKU-00000120,607,2025-08-08 20:37:28
121,Heavy Duty Iron Car,LG,Beauty,1406.50,SKU-00000121,810,2025-07-24 00:55:54
122,Synergistic Rubber Lamp,Dell,Books,168.83,SKU-00000122,710,2025-11-25 13:19:44
123,Intelligent Paper Table,Adidas,Clothing,1208.80,SKU-00000123,240,2024-11-28 19:00:26
124,Ergonomic Cotton Computer,Adidas,Clothing,610.71,SKU-00000124,209,2025-01-11 04:46:47
125,Practical Cotton Clock,HP,Electronics,1960.10,SKU-00000125,6,2026-04-26 07:53:02
126,Fantastic Cotton Watch,Samsung,Toys,941.66,SKU-00000126,302,2025-07-02 02:01:29
127,Aerodynamic Granite Bottle,HP,Beauty,1564.00,SKU-00000127,471,2025-02-13 10:30:25
128,Mediocre Silk Pants,LG,Food,1447.93,SKU-00000128,755,2025-11-22 01:13:32
129,Enormous Linen Gloves,Adidas,Toys,1820.11,SKU-00000129,672,2025-03-12 15:12:02
130,Enormous Plastic Shirt,LG,Sports,623.75,SKU-00000130,971,2025-01-26 01:12:58
131,Synergistic Paper Knife,Samsung,Beauty,560.90,SKU-00000131,604,2026-07-16 11:31:57
132,Small Linen Plate,Dell,Electronics,902.35,SKU-00000132,287,2025-11-01 22:35:12
133,Mediocre Silk Coat,Sony,Home,1733.11,SKU-00000133,172,2025-02-02 02:57:02
134,Durable Granite Chair,Samsung,Electronics,657.40,SKU-00000134,448,2026-04-23 14:25:32
135,Awesome Copper Car,Dell,Clothing,1650.97,SKU-00000135,716,2025-03-24 20:32:59
136,Mediocre Rubber Bench,HP,Sports,754.77,SKU-00000136,425,2025-12-17 02:41:17
137,Mediocre Copper Shirt,Dell,Books,1403.00,SKU-00000137,866,2025-05-23 05:08:18
138,Synergistic Paper Plate,Dell,Electronics,1136.96,SKU-00000138,801,2025-12-25 21:12:52
139,Aerodynamic Wooden Coat,Dell,Sports,405.92,SKU-00000139,504,2025-12-10 16:18:53
140,Enormous Paper Shirt,Apple,Food,557.73,SKU-00000140,255,2026-05-30 12:39:27
141,Incredible Granite Coat,Nike,Books,378.45,SKU-00000141,969,2025-01-23 21:18:32
142,Rustic Steel Wallet,Sony,Food,792.27,SKU-00000142,352,2026-02-20 02:57:06
143,Gorgeous Plastic Bench,Nike,Clothing,228.13,SKU-00000143,617,2024-11-16 01:10:47
144,Small Rubber Bag,Sony,Food,302.36,SKU-00000144,210,2025-01-22 07:24:31
145,Durable Concrete Shoes,Sony,Electronics,561.35,SKU-00000145,389,2024-10-11 03:04:33
146,Heavy Duty Plastic Bench,HP,Sports,388.46,SKU-00000146,43,2025-02-18 21:45:35
147,Gorgeous Wool Shoes,Adidas,Food,1066.74,SKU-00000147,202,2025-05-23 18:00:48
148,Awesome Cotton Knife,LG,Electronics,1912.99,SKU-00000148,349,2025-08-07 15:41:42
149,Incredible Steel Plate,Dell,Home,624.72,SKU-00000149,923,2025-03-04 23:55:05
150,Mediocre Linen Bag,Apple,Food,998.98,SKU-00000150,520,2025-12-18 16:33:40
151,Gorgeous Marble Plate,Adidas,Toys,1979.07,SKU-00000151,898,2025-06-18 09:51:26
152,Awesome Plastic Table,Nike,Food,902.92,SKU-00000152,147,2024-12-01 14:05:13
153,Enormous Rubber Car,Sony,Electronics,1796.35,SKU-00000153,544,2025-12-28 12:01:12
154,Aerodynamic Silk Gloves,HP,Sports,1623.22,SKU-00000154,556,2025-06-24 06:54:46
155,Intelligent Leather Bottle,Nike,Home,1633.49,SKU-00000155,713,2025-03-11 06:29:25
156,Intelligent Linen Knife,LG,Books,1301.19,SKU-00000156,474,2026-07-04 02:17:24
157,Enormous Cotton Keyboard,Adidas,Clothing,1805.54,SKU-00000157,127,2025-01-23 19:18:54
158,Heavy Duty Linen Knife,LG,Food,15.94,SKU-00000158,13,2025-12-17 22:30:55
159,Enormous Concrete Chair,LG,Food,533.65,SKU-00000159,856,2024-12-02 11:07:33
160,Small Granite Lamp,Sony,Beauty,692.45,SKU-00000160,556,2025-10-17 14:59:39
161,Ergonomic Granite Shirt,Samsung,Sports,495.46,SKU-00000161,882,2025-05-07 16:16:02
162,Intelligent Rubber Shoes,Dell,Toys,302.12,SKU-00000162,581,2026-02-07 23:11:07
163,Enormous Marble Shoes,Samsung,Home,1377.13,SKU-00000163,187,2025-08-13 02:24:54
164,Enormous Wooden Lamp,Dell,Beauty,280.31,SKU-00000164,426,2025-04-14 10:03:30
165,Incredible Concrete Shirt,Adidas,Toys,1551.58,SKU-00000165,902,2025-06-07 04:32:03
166,Ergonomic Wooden Bench,LG,Toys,1118.35,SKU-00000166,631,2025-10-27 04:04:49
167,Sleek Marble Clock,Samsung,Books,1382.43,SKU-00000167,728,2026-03-19 12:22:04
168,Mediocre Silk Knife,Samsung,Electronics,1278.89,SKU-00000168,281,2025-03-10 06:39:32
169,Lightweight Paper Bottle,Sony,Home,1328.28,SKU-00000169,33,2024-12-17 16:04:11
170,Ergonomic Copper Hat,Adidas,Home,40.42,SKU-00000170,345,2025-09-06 11:53:31
171,Sleek Iron Clock,HP,Food,487.85,SKU-00000171,167,2025-09-22 01:01:59
172,Enormous Steel Watch,HP,Home,1907.20,SKU-00000172,767,2025-02-15 18:55:27
173,Fantastic Rubber Knife,Adidas,Food,1900.90,SKU-00000173,397,2026-03-10 23:53:05
174,Small Paper Clock,Nike,Sports,945.95,SKU-00000174,210,2025-11-21 04:14:04
175,Awesome Wool Table,Apple,Clothing,604.18,SKU-00000175,185,2024-10-15 05:42:13
176,Ergonomic Marble Chair,Sony,Clothing,1847.31,SKU-00000176,276,2024-11-13 23:03:10
177,Gorgeous Wooden Bag,Nike,Electronics,88.88,SKU-00000177,180,2024-11-09 18:13:38
178,Mediocre Wool Wallet,LG,Toys,1961.32,SKU-00000178,939,2025-11-18 03:22:29
179,Sleek Rubber Computer,Dell,Toys,798.98,SKU-00000179,491,2024-10-30 06:53:46
180,Rustic Concrete Hat,Apple,Sports,989.14,SKU-00000180,955,2024-09-20 09:48:15
181,Small Rubber Shirt,Nike,Beauty,1707.77,SKU-00000181,843,2025-12-27 02:30:02
182,Ergonomic Steel Shoes,LG,Toys,613.47,SKU-00000182,95,2024-12-22 04:03:57
183,Small Rubber Shoes,Samsung,Sports,1905.81,SKU-00000183,682,2026-04-11 22:23:58
184,Durable Rubber Coat,Nike,Beauty,352.69,SKU-00000184,967,2025-07-01 13:09:10
185,Aerodynamic Plastic Table,LG,Home,673.02,SKU-00000185,481,2025-11-11 15:21:19
186,Heavy Duty Wool Bench,HP,Electronics,649.15,SKU-00000186,621,2025-08-31 23:23:06
187,Small Plastic Hat,Samsung,Sports,1684.68,SKU-00000187,14,2025-10-07 00:11:53
188,Intelligent Silk Lamp,LG,Clothing,1622.37,SKU-00000188,64,2026-03-05 20:08:10
189,Aerodynamic Cotton Bench,Samsung,Clothing,1507.52,SKU-00000189,855,2026-05-27 08:23:18
190,Heavy Duty Iron Bench,Apple,Books,897.33,SKU-00000190,179,2025-02-06 07:23:42
191,Lightweight Leather Wallet,Apple,Electronics,1741.79,SKU-00000191,649,2025-07-15 02:51:01
192,Gorgeous Silk Shoes,Dell,Sports,1528.20,SKU-00000192,166,2024-12-01 11:07:57
193,Ergonomic Paper Lamp,Dell,Home,66.94,SKU-00000193,559,2025-07-28 10:15:52
194,Sleek Linen Shoes,Dell,Books,484.80,SKU-00000194,994,2025-07-27 11:10:47
195,Awesome Paper Table,Dell,Home,747.24,SKU-00000195,742,2025-12-24 23:33:03
196,Gorgeous Leather Hat,Apple,Electronics,303.92,SKU-00000196,355,2025-02-22 18:48:07
197,Incredible Silk Watch,Adidas,Toys,1722.69,SKU-00000197,542,2025-02-22 06:08:18
198,Intelligent Paper Watch,Apple,Books,1499.55,SKU-00000198,382,2025-05-26 21:45:08
199,Intelligent Silk Plate,Adidas,Beauty,137.52,SKU-00000199,284,2026-03-04 16:48:17
200,Ergonomic Copper Bench,Samsung,Food,94.34,SKU-00000200,58,2026-05-25 21:15:35
201,Small Bronze Wallet,Samsung,Beauty,91.47,SKU-00000201,667,2025-12-03 14:12:42
202,Durable Wool Clock,Apple,Beauty,972.86,SKU-00000202,372,2025-12-11 12:45:54
203,Fantastic Cotton Hat,Sony,Food,1447.07,SKU-00000203,658,2025-12-17 06:32:44
204,Awesome Plastic Coat,Samsung,Electronics,761.33,SKU-00000204,339,2025-09-21 18:51:10
205,Mediocre Linen Chair,Dell,Beauty,1462.89,SKU-00000205,712,2026-04-26 13:33:12
206,Awesome Leather Computer,Nike,Home,1007.58,SKU-00000206,267,2026-01-09 04:18:02
207,Intelligent Copper Gloves,HP,Toys,1808.67,SKU-00000207,451,2025-02-21 17:46:21
208,Aerodynamic Steel Lamp,Samsung,Sports,1582.00,SKU-00000208,311,2026-04-29 12:41:27
209,Synergistic Rubber Shirt,Samsung,Food,1662.72,SKU-00000209,462,2025-03-09 16:21:35
210,Awesome Steel Bag,LG,Toys,1658.08,SKU-00000210,909,2025-12-13 04:42:55
211,Small Bronze Car,Samsung,Home,476.21,SKU-00000211,729,2025-09-28 06:42:56
212,Incredible Plastic Lamp,Adidas,Beauty,1771.61,SKU-00000212,238,2026-01-08 15:04:42
213,Fantastic Copper Wallet,Sony,Books,1688.66,SKU-00000213,858,2026-01-19 02:38:45
214,Ergonomic Steel Wallet,LG,Clothing,636.02,SKU-00000214,734,2026-02-03 10:51:35
215,Aerodynamic Rubber Bag,Sony,Sports,526.00,SKU-00000215,258,2026-08-06 00:29:41
216,Ergonomic Wooden Table,Adidas,Sports,399.68,SKU-00000216,621,2025-10-14 03:30:34
217,Small Paper Coat,Apple,Home,1508.50,SKU-00000217,228,2026-06-07 18:25:05
218,Practical Iron Watch,Sony,Beauty,115.75,SKU-00000218,761,2026-09-03 07:35:39
219,Enormous Rubber Bottle,Sony,Books,1803.66,SKU-00000219,544,2025-11-01 05:45:44
220,Mediocre Concrete Plate,Sony,Beauty,1228.78,SKU-00000220,628,2025-07-24 14:21:25
221,Lightweight Wooden Keyboard,Nike,Home,1086.87,SKU-00000221,68,2025-12-08 05:41:36
222,Synergistic Leather Bag,LG,Beauty,1403.77,SKU-00000222,736,2025-11-26 22:47:20
223,Incredible Bronze Shirt,Samsung,Food,1862.56,SKU-00000223,370,2026-04-30 16:12:51
224,Aerodynamic Paper Wallet,HP,Books,443.05,SKU-00000224,817,2025-03-14 06:31:24
225,Intelligent Concrete Coat,Samsung,Sports,1826.47,SKU-00000225,845,2026-04-13 10:57:48
226,Lightweight Concrete Chair,Apple,Electronics,778.36,SKU-00000226,58,2025-01-30 13:25:08
227,Gorgeous Iron Bottle,Adidas,Beauty,1338.14,SKU-00000227,22,2026-09-05 13:14:37
228,Lightweight Leather Wallet,Adidas,Home,516.71,SKU-00000228,640,2026-03-06 04:11:53
229,Intelligent Silk Gloves,HP,Books,1362.79,SKU-00000229,332,2025-02-08 01:49:08
230,Awesome Paper Table,Apple,Electronics,817.68,SKU-00000230,19,2024-12-02 01:59:28
231,Rustic Concrete Computer,Apple,Electronics,657.84,SKU-00000231,784,2024-10-14 18:38:29
232,Durable Marble Table,Nike,Beauty,862.02,SKU-00000232,245,2026-07-02 16:06:57
233,Small Silk Wallet,Dell,Food,88.26,SKU-00000233,511,2025-11-26 18:20:39
234,Incredible Paper Hat,Dell,Electronics,1118.43,SKU-00000234,34,2026-07-25 08:56:40
235,Enormous Aluminum Wallet,Nike,Food,81.65,SKU-00000235,562,2024-11-05 02:09:13
236,Ergonomic Bronze Coat,Samsung,Beauty,1701.25,SKU-00000236,413,2025-08-19 01:07:15
237,Small Wooden Wallet,Samsung,Home,1341.43,SKU-00000237,520,2025-08-22 01:37:34
238,Heavy Duty Steel Coat,Nike,Beauty,1601.29,SKU-00000238,916,2025-07-31 23:53:50
239,Gorgeous Bronze Keyboard,HP,Clothing,1170.89,SKU-00000239,900,2025-05-05 13:49:38
240,Mediocre Cotton Keyboard,Sony,Food,1438.43,SKU-00000240,546,2025-02-28 13:14:01
241,Ergonomic Aluminum Bottle,Apple,Sports,320.63,SKU-00000241,345,2025-10-31 16:51:02
242,Sleek Concrete Computer,HP,Food,1804.67,SKU-00000242,875,2025-05-17 11:01:09
243,Intelligent Cotton Plate,Sony,Books,664.46,SKU-00000243,322,2025-12-22 16:54:33
244,Practical Rubber Watch,Samsung,Clothing,503.52,SKU-00000244,894,2025-08-28 19:11:11
245,Lightweight Wooden Bench,LG,Home,1558.30,SKU-00000245,47,2025-03-13 12:46:00
246,Sleek Cotton Keyboard,Nike,Home,1724.69,SKU-00000246,595,2026-05-27 11:10:33
247,Sleek Leather Table,Apple,Books,1231.79,SKU-00000247,795,2024-12-07 06:08:10
248,Ergonomic Silk Bottle,Dell,Electronics,934.72,SKU-00000248,764,2025-10-21 03:28:34
249,Small Silk Knife,Apple,Electronics,132.67,SKU-00000249,577,2026-03-03 01:39:37
250,Lightweight Marble Clock,LG,Food,386.37,SKU-00000250,713,2025-08-20 12:25:30
251,Incredible Granite Coat,Nike,Clothing,359.84,SKU-00000251,597,2025-04-10 21:32:24
252,Incredible Marble Bottle,Dell,Home,403.47,SKU-00000252,196,2026-01-06 12:33:22
253,Awesome Cotton Lamp,HP,Books,1717.19,SKU-00000253,952,2026-04-10 15:17:08
254,Incredible Paper Chair,Apple,Beauty,1159.03,SKU-00000254,188,2025-10-26 14:31:29
255,Small Cotton Computer,Samsung,Electronics,1498.59,SKU-00000255,867,2024-12-25 12:57:30
256,Mediocre Concrete Chair,Samsung,Books,81.54,SKU-00000256,190,2025-01-18 22:37:36
257,Awesome Copper Shirt,LG,Electronics,1785.46,SKU-00000257,926,2025-10-24 17:11:52
258,Durable Wool Shoes,Samsung,Toys,198.31,SKU-00000258,701,2024-12-15 11:51:25
259,Enormous Iron Wallet,LG,Food,144.33,SKU-00000259,609,2026-05-24 10:31:36
260,Enormous Steel Car,Dell,Food,90.38,SKU-00000260,763,2026-09-11 03:28:55
261,Ergonomic Silk Knife,Apple,Books,1750.09,SKU-00000261,704,2025-02-10 10:50:57
262,Durable Granite Gloves,Samsung,Clothing,1576.74,SKU-00000262,504,2025-11-18 08:10:47
263,Practical Leather Bag,LG,Toys,1924.12,SKU-00000263,373,2026-02-04 11:04:44
264,Rustic Granite Bottle,Dell,Toys,1469.66,SKU-00000264,736,2026-03-22 07:46:48
265,Small Bronze Wallet,LG,Books,577.91,SKU-00000265,293,2025-09-02 18:15:15
266,Sleek Aluminum Lamp,Sony,Electronics,1006.03,SKU-00000266,419,2025-01-28 23:56:54
267,Rustic Granite Hat,HP,Home,116.57,SKU-00000267,45,2025-08-29 01:30:36
268,Mediocre Bronze Car,Sony,Books,504.46,SKU-00000268,308,2024-12-27 20:18:39
269,Enormous Aluminum Table,Adidas,Books,1791.83,SKU-00000269,591,2025-10-03 14:37:07
270,Sleek Bronze Pants,Samsung,Sports,1586.12,SKU-00000270,555,2025-05-23 16:54:51
271,Durable Marble Bench,HP,Home,1764.69,SKU-00000271,765,2025-06-27 13:32:56
272,Small Leather Keyboard,Samsung,Books,1099.23,SKU-00000272,511,2025-12-11 17:22:45
273,Fantastic Linen Keyboard,Apple,Electronics,1830.24,SKU-00000273,647,2025-07-06 20:29:58
274,Awesome Leather Clock,Samsung,Clothing,98.60,SKU-00000274,76,2025-01-15 02:12:47
275,Incredible Concrete Clock,Samsung,Home,1835.75,SKU-00000275,536,2026-01-12 21:53:10
276,Durable Rubber Watch,Dell,Beauty,601.26,SKU-00000276,91,2024-10-17 04:32:24
277,Incredible Bronze Shoes,Dell,Books,859.67,SKU-00000277,810,2025-08-07 14:32:07
278,Practical Linen Keyboard,HP,Books,536.13,SKU-00000278,935,2025-11-18 13:11:29
279,Enormous Rubber Chair,Adidas,Clothing,60.18,SKU-00000279,955,2025-07-29 22:37:25
